response_id,date_time,optional_text
489,2014-09-15 09:08:50,12
518,2014-09-15 09:56:38,27
535,2014-09-15 10:48:50,78
553,2014-09-15 12:04:43,70
568,2014-09-15 16:42:04,90
592,2014-09-15 17:47:36,75
613,2014-09-15 18:57:28,75
632,2014-09-15 19:36:52,50
656,2014-09-15 20:51:43,120
674,2014-09-15 21:52:04,105
694,2014-09-15 22:45:30,80
728,2014-09-16 08:27:36,31
744,2014-09-16 09:34:01,60
763,2014-09-16 11:22:46,80
781,2014-09-16 12:24:53,70
797,2014-09-16 13:14:58,90
812,2014-09-16 14:47:56,80
834,2014-09-16 15:22:23,80
854,2014-09-16 17:33:43,60
874,2014-09-16 18:22:47,60
904,2014-09-16 20:46:44,50
924,2014-09-16 21:26:38,90
935,2014-09-16 22:27:11,131
957,2014-09-16 23:23:58,119
980,2014-09-17 00:17:31,107
1024,2014-09-17 08:32:30,25
1042,2014-09-17 09:41:08,124
1060,2014-09-17 10:37:24,180
1078,2014-09-17 11:38:09,107
1091,2014-09-17 11:39:31,
1092,2014-09-17 11:39:54,
1096,2014-09-17 12:18:40,190
1117,2014-09-17 12:57:03,175
1140,2014-09-17 14:17:31,190
1163,2014-09-17 15:27:59,110
1195,2014-09-17 18:17:34,50
1222,2014-09-17 20:11:59,113
1244,2014-09-17 21:29:08,163
1266,2014-09-17 22:25:54,174
1288,2014-09-17 23:23:50,160
1310,2014-09-18 01:23:51,50
1346,2014-09-18 08:41:24,30
1366,2014-09-18 09:22:50,45
1386,2014-09-18 10:55:03,113
1407,2014-09-18 12:31:26,120
1429,2014-09-18 14:26:04,80
1450,2014-09-18 15:16:38,
1481,2014-09-18 16:15:03,85
1502,2014-09-18 18:23:53,115
1525,2014-09-18 19:40:50,93
1548,2014-09-18 20:25:28,130
1569,2014-09-18 21:55:19,100
1589,2014-09-18 23:03:46,140
1612,2014-09-19 00:13:55,80
1657,2014-09-19 09:17:32,54
1675,2014-09-19 10:32:34,95
1696,2014-09-19 11:32:52,97
1716,2014-09-19 12:10:06,65
1738,2014-09-19 12:55:35,75
1762,2014-09-19 14:03:26,50
1783,2014-09-19 14:56:48,40
1805,2014-09-19 16:11:05,5
1809,2014-09-19 16:17:35,55
1829,2014-09-19 17:18:42,31
1860,2014-09-19 18:11:38,34
1878,2014-09-19 19:53:10,33
1898,2014-09-19 21:25:49,50
1931,2014-09-20 11:02:46,9
1949,2014-09-20 12:18:30,26
1967,2014-09-20 13:14:44,39
1988,2014-09-20 14:19:36,47
